,RAM,function,matrix_type,chunk_type,num_cores,time
0,15,dot,sparse,"(1000, 1000)",1,294.92734122276306
1,3,transpose,random,"(1000, 1000)",8,9.058634281158447
2,6,transpose,random,auto,1,16.028719902038574
3,1,eigh,random,auto,1,1450.5469481945038
4,15,inv,random,auto,8,185.5696575641632
5,1,dot,random,auto,4,174.15118169784546
6,6,eigh,sparse,"(1000, 1000)",4,1334.0133891105652
7,3,dot,random,"(1000, 1000)",8,113.62001585960388
8,6,dot,sparse,auto,4,133.30668592453003
9,6,transpose,sparse,"(1000, 1000)",8,10.00925350189209
10,3,transpose,sparse,auto,4,18.904770612716675
11,15,transpose,random,auto,8,7.885903596878052
12,3,inv,random,auto,1,1175.5917837619781
13,3,dot,random,auto,4,147.33232474327087
14,6,eigh,sparse,auto,4,1451.6804029941559
15,15,inv,random,"(1000, 1000)",4,223.20653438568115
16,6,dot,random,"(1000, 1000)",8,97.85700392723083
17,3,eigh,sparse,auto,1,1226.5115370750427
18,15,dot,random,auto,1,275.600168466568
19,15,inv,sparse,auto,4,226.95053219795227
20,1,transpose,random,auto,4,24.92306685447693
21,6,inv,random,"(1000, 1000)",8,721.6682312488556
22,1,inv,random,auto,8,377.3743598461151
23,3,inv,sparse,auto,8,374.0726637840271
24,15,inv,sparse,"(1000, 1000)",8,380.5655999183655
25,15,eigh,sparse,auto,8,1309.9095287322998
26,3,eigh,sparse,"(1000, 1000)",4,1398.7994265556335
27,15,eigh,sparse,"(1000, 1000)",4,1398.173501253128
28,3,transpose,random,auto,1,20.52792525291443
29,6,dot,sparse,"(1000, 1000)",1,313.41757559776306
30,1,transpose,sparse,"(1000, 1000)",1,17.08199381828308
31,15,dot,random,"(1000, 1000)",8,55.85030460357666
32,3,dot,sparse,auto,1,314.92400550842285
33,6,transpose,sparse,auto,4,13.278951644897461
34,3,eigh,random,"(1000, 1000)",8,1292.5015587806702
35,1,dot,sparse,auto,8,133.90547919273376
36,1,transpose,sparse,auto,1,16.22414803504944
37,15,transpose,sparse,auto,1,7.788165807723999
38,15,eigh,random,auto,1,1331.8400313854218
39,6,inv,random,auto,4,308.20228719711304
40,1,inv,sparse,auto,1,775.1468167304993
41,3,eigh,random,"(1000, 1000)",4,1305.1970217227936
42,3,dot,sparse,"(1000, 1000)",1,436.28287267684937
43,6,inv,random,auto,8,244.47532272338867
44,6,transpose,random,"(1000, 1000)",1,11.720022439956665
45,6,eigh,random,auto,1,1520.590670824051
46,6,inv,sparse,"(1000, 1000)",1,980.763129234314
47,15,eigh,sparse,"(1000, 1000)",8,1345.2349042892456
48,3,eigh,sparse,"(1000, 1000)",8,1303.055307149887
49,15,transpose,random,"(1000, 1000)",1,6.104774236679077
50,6,transpose,sparse,auto,8,7.097065448760986
51,15,dot,random,"(1000, 1000)",4,73.96257662773132
52,1,transpose,random,auto,8,13.849817276000977
53,6,inv,random,"(1000, 1000)",4,1036.65278506279
54,1,eigh,sparse,auto,1,1433.8803389072418
55,6,dot,random,auto,1,258.92052245140076
56,6,inv,sparse,auto,1,682.9871234893799
57,15,inv,sparse,auto,8,164.32962369918823
58,15,inv,sparse,"(1000, 1000)",4,209.4698715209961
59,15,transpose,sparse,"(1000, 1000)",1,7.917443513870239
60,1,transpose,random,"(1000, 1000)",1,20.56001043319702
61,15,eigh,sparse,auto,4,1340.0580151081085
62,15,inv,random,auto,4,186.67201590538025
63,3,inv,random,"(1000, 1000)",1,2362.179310321808
64,1,dot,random,auto,8,137.65839862823486
65,3,eigh,random,auto,1,1482.2220842838287
66,3,dot,random,"(1000, 1000)",4,123.54050135612488
67,6,transpose,sparse,"(1000, 1000)",4,13.35163688659668
68,15,dot,sparse,auto,1,248.23489665985107
69,6,dot,sparse,auto,8,85.35166764259338
70,6,eigh,sparse,"(1000, 1000)",8,1393.7373554706573
71,15,eigh,random,"(1000, 1000)",1,1330.7698755264282
72,3,transpose,random,"(1000, 1000)",4,15.107972145080566
73,6,eigh,random,"(1000, 1000)",1,1392.3460252285004
74,3,transpose,sparse,"(1000, 1000)",1,19.71093511581421
75,6,eigh,sparse,auto,8,1319.6055235862732
76,3,dot,random,auto,8,109.72260737419128
77,15,inv,random,"(1000, 1000)",8,302.91999554634094
78,6,dot,random,"(1000, 1000)",4,151.45720100402832
79,3,transpose,sparse,auto,8,19.828978538513184
80,15,transpose,random,auto,4,11.030421495437622
81,3,transpose,random,auto,8,12.066493034362793
82,6,dot,sparse,"(1000, 1000)",8,97.03789234161377
83,15,transpose,random,"(1000, 1000)",4,12.654525518417358
84,3,dot,sparse,auto,8,131.92827200889587
85,1,transpose,sparse,"(1000, 1000)",8,9.680113792419434
86,15,dot,random,"(1000, 1000)",1,311.7869508266449
87,1,inv,sparse,auto,4,503.89284491539
88,1,transpose,sparse,auto,8,18.14944624900818
89,3,eigh,random,"(1000, 1000)",1,1366.5214235782623
90,1,dot,sparse,auto,1,306.83332204818726
91,15,eigh,random,auto,8,1309.9915280342102
92,6,transpose,random,"(1000, 1000)",4,4.5431671142578125
93,6,eigh,random,auto,4,1393.901995897293
94,15,transpose,sparse,auto,8,9.448587656021118
95,3,dot,sparse,"(1000, 1000)",4,177.50093150138855
96,15,eigh,random,"(1000, 1000)",4,1287.517522573471
97,3,dot,random,"(1000, 1000)",1,459.9751100540161
98,3,eigh,random,auto,4,1311.6256532669067
99,15,dot,sparse,auto,4,74.96746301651001
100,6,transpose,sparse,"(1000, 1000)",1,13.218740224838257
101,15,inv,random,auto,1,596.652480840683
102,15,dot,sparse,"(1000, 1000)",8,56.41382122039795
103,6,eigh,random,"(1000, 1000)",4,1363.6871273517609
104,3,transpose,random,"(1000, 1000)",1,23.101080894470215
105,6,transpose,random,auto,8,7.543413162231445
106,1,eigh,random,auto,8,1292.7243530750275
107,6,dot,random,"(1000, 1000)",1,311.4884502887726
108,15,transpose,random,auto,1,9.316823244094849
109,3,inv,random,auto,8,306.07325887680054
110,1,inv,random,auto,1,964.4286963939667
111,6,dot,random,auto,4,113.85780334472656
112,1,eigh,sparse,auto,4,1326.1795661449432
113,6,inv,random,"(1000, 1000)",1,1365.276273727417
114,3,eigh,sparse,auto,8,1283.603313922882
115,6,inv,sparse,auto,4,307.47245717048645
116,15,dot,random,auto,8,48.29644012451172
117,1,transpose,random,"(1000, 1000)",4,18.9057514667511
118,15,eigh,sparse,auto,1,1429.8233869075775
119,15,transpose,sparse,"(1000, 1000)",4,11.522681713104248
120,15,inv,sparse,"(1000, 1000)",1,646.6296880245209
121,3,inv,sparse,auto,1,1218.1128296852112
122,15,inv,sparse,auto,1,595.8511810302734
123,15,dot,random,auto,4,78.70285630226135
124,6,inv,sparse,auto,8,242.9722409248352
125,1,transpose,random,auto,1,20.040776014328003
126,1,eigh,sparse,auto,8,1338.6212074756622
127,6,dot,random,auto,8,80.17781472206116
128,1,transpose,random,"(1000, 1000)",8,14.65954065322876
129,15,transpose,sparse,"(1000, 1000)",8,9.637150049209595
130,6,transpose,random,auto,4,3.32615065574646
131,3,inv,sparse,"(1000, 1000)",1,1954.332683801651
132,1,eigh,random,auto,4,1420.4927866458893
133,15,dot,sparse,"(1000, 1000)",4,102.19208526611328
134,3,transpose,sparse,"(1000, 1000)",8,16.937527656555176
135,6,eigh,random,"(1000, 1000)",8,1318.7669944763184
136,3,eigh,random,auto,8,1337.0502769947052
137,15,dot,sparse,auto,8,67.76249408721924
138,6,dot,sparse,auto,1,271.73626804351807
